Country,Population,Onemeter,Twometer,3 meter-Pop,4 meter-Pop,5 meter-Pop,1 meter-Pop%,2 meter-Pop%,3 meter-Pop%,4 meter-Pop%,5 meter-Pop%
Argentina,37032000,199601,425596,664630,944211,1271972,0.538996003,1.1492655,1.794745085,2.549716461,3.434791532
Bahamas,304000,13869,20616,32069,54722,89742,4.562171053,6.781578947,10.54901316,18.00065789,29.52039474
Belize,226000,5532,15438,23050,33676,42693,2.447787611,6.830973451,10.19911504,14.90088496,18.89070796
Brazil,170406000,1026618,1710273,2692247,3969403,5296660,0.602454139,1.003645998,1.579901529,2.329379834,3.108259099
Chile,15211000,39615,49111,59526,71714,71714,0.260436526,0.322865032,0.391335218,0.471461442,0.471461442
Colombia,42105000,142888,252587,385963,522346,650853,0.339361121,0.599897874,0.916667854,1.240579504,1.545785536
Costa Rica,4024000,5152,7696,14387,23440,43917,0.128031809,0.191252485,0.357529821,0.58250497,1.09137674
Cuba,11199000,77460,122735,181608,294205,427107,0.691668899,1.095946067,1.62164479,2.627064917,3.813795875
Dominican Republic,8373000,27631,60868,91215,133827,189017,0.330001194,0.726955691,1.089394482,1.598316016,2.257458498
Ecuador,12646000,137539,229772,327299,483380,660611,1.08760873,1.816953978,2.588162265,3.822394433,5.223873161
El Salvador,6278000,9920,14940,23550,36612,56534,0.158012106,0.237973877,0.375119465,0.583179356,0.900509716
French Guiana,165000,8940,10041,11796,16764,24304,5.418181818,6.085454545,7.149090909,10.16,14.72969697
Guatemala,11385000,3133,6909,12823,21690,35277,0.027518665,0.060685112,0.112630654,0.190513834,0.309855072
Guyana,761000,47924,112998,195477,267845,319582,6.297503285,14.84862024,25.6868594,35.19645204,41.99500657
Haiti,8142000,11830,29042,51304,79873,115836,0.145295996,0.356693687,0.630115451,0.980999754,1.422697126
Honduras,6417000,7198,17169,27201,42062,62839,0.112170796,0.267554932,0.423889668,0.655477638,0.97925822
Jamaica,2576000,24106,36643,55226,81046,105399,0.935791925,1.422476708,2.14386646,3.146195652,4.091576087
Mexico,98872000,590895,886704,1310478,1746646,2221226,0.597636338,0.896820131,1.325428837,1.766572943,2.246567279
Suriname,417000,29203,75474,127999,185124,232546,7.003117506,18.09928058,30.69520384,44.3942446,55.76642686
Nicaragua,5071000,6276,13096,21869,37728,48615,0.123762571,0.25825281,0.431256162,0.743995267,0.95868665
Peru,25662000,38455,57329,97625,125481,164391,0.149851921,0.223400359,0.380426311,0.488975918,0.640600888
Panama,2856000,9924,21554,40422,66661,92329,0.347478992,0.754691877,1.415336134,2.334068627,3.232808123
Puerto Rico,3915000,103834,161377,223204,283106,333421,2.652209451,4.12201788,5.701251596,7.231315453,8.516500639
Uruguay,3337000,82885,113646,140009,173805,201020,2.4838178,3.405633803,4.19565478,5.208420737,6.023973629
Venezuela,24170000,235500,338101,453557,596423,745730,0.974348366,1.398845676,1.876528755,2.46761688,3.085353744
Algeria,30291000,171380,234314,290705,371685,446864,0.565778614,0.773543297,0.959707504,1.227047638,1.475236869
Egypt,67884000,6296292,8160882,10110653,12017374,14147454,9.275075128,12.02180484,14.89401479,17.70280773,20.84063108
Iran,70330000,240354,406278,572686,722502,866473,0.341751742,0.577673823,0.814284089,1.027302716,1.232010522
Kuwait,1914000,11429,16375,22516,27600,39722,0.597126437,0.85553814,1.176384535,1.44200627,2.075339603
Libya,5290000,156820,202293,250110,290829,334717,2.964461248,3.824064272,4.727977316,5.497712665,6.327353497
Morocco,29634000,380844,461485,550148,663212,771015,1.285158939,1.557282176,1.85647567,2.238010393,2.601791861
Oman,2538000,27252,42069,62398,85497,111377,1.073758865,1.657565012,2.458550039,3.368676123,4.388376675
Qatar,565000,9051,12406,25107,41576,55379,1.601946903,2.195752212,4.443716814,7.358584071,9.80159292
Saudi Arabia,20346000,403036,602309,841248,1102031,1349536,1.980910253,2.960331269,4.134709525,5.416450408,6.632930306
United Arab Emirates,2606000,119581,164176,211191,255431,306088,4.588679969,6.299923254,8.104029163,9.801650038,11.74551036
Tunisia,9459000,462490,566649,663122,772427,899951,4.889417486,5.9905804,7.010487367,8.166053494,9.514229834
Western Sahara,190000,286,390,760,945,1212,0.150526316,0.205263158,0.4,0.497368421,0.637894737
Yemen,18349000,111983,139481,167523,203497,227928,0.610294839,0.760155867,0.912981634,1.109035915,1.242182135
Angola,13134000,24360,38193,66443,106994,131359,0.185472819,0.290794884,0.505885488,0.814633775,1.000144663
Benin,6272000,246162,343896,436542,610604,766704,3.924776786,5.483035714,6.960172194,9.735395408,12.22423469
"Congo, Rep.",3018000,2841,2955,10075,12852,21608,0.094135189,0.097912525,0.333830351,0.42584493,0.715970842
"Congo, Dem. Rep.",50948000,14205,21444,28118,32602,35239,0.027881369,0.042089974,0.055189605,0.063990736,0.069166601
Cameroon,14876000,2761,26406,46319,74839,96768,0.018560097,0.177507394,0.311367303,0.503085507,0.650497446
Equatorial Guinea,457000,466,1395,2156,3429,4217,0.101969365,0.305251641,0.471772429,0.750328228,0.922757112
Ethiopia,62908000,233919,237452,241515,247583,252826,0.371843009,0.377459147,0.383917785,0.393563617,0.40189801
"Gambia, The",1303000,45794,108335,182072,244131,291532,3.514504988,8.314274751,13.9732924,18.73607061,22.37390637
Gabon,1230000,6119,6851,19660,39054,57222,0.497479675,0.55699187,1.598373984,3.175121951,4.652195122
Ghana,19306000,150143,224383,317701,404992,503424,0.777701233,1.162244898,1.645607583,2.097751994,2.607603854
Guinea,8154000,52659,145588,281683,365981,427999,0.64580574,1.785479519,3.45453765,4.48836154,5.248945303
Ivory Coast,16013000,217073,266158,312107,396557,518012,1.355604821,1.662137014,1.949085118,2.476469119,3.234946606
Kenya,30669000,15627,22072,35311,47468,64592,0.050953732,0.071968437,0.115135805,0.15477518,0.210610062
Liberia,2913000,46660,89000,158594,289158,360564,1.601785101,3.055269482,5.444352901,9.926467559,12.37775489
Madagascar,15970000,85089,141274,183006,263855,330336,0.53280526,0.884621165,1.14593613,1.652191609,2.068478397
Mauritania,2665000,211834,330154,426017,494341,549780,7.948742964,12.38851782,15.98562852,18.54938086,20.62964353
Mozambique,18292000,71478,160041,369914,690947,979918,0.390760988,0.874923464,2.022272031,3.777317953,5.357085065
Nigeria,113862000,455209,972769,165525,2527719,3505455,0.399790097,0.854340342,0.145373347,2.219984718,3.078687358
Guinea-Bissau,1199000,10215,25988,53520,109778,161336,0.851959967,2.167472894,4.463719766,9.155796497,13.4558799
South Africa,43309000,37071,37071,59906,68707,99670,0.085596527,0.085596527,0.138322289,0.1586437,0.230136923
Senegal,9421000,206078,392195,662398,914822,1120602,2.187432332,4.162986944,7.031079503,9.710455366,11.89472455
Sierra Leone,4405000,25370,53339,90919,129079,169335,0.575936436,1.210874007,2.06399546,2.930283768,3.84415437
Somalia,8778000,39302,53213,90418,129101,177212,0.447732969,0.606208704,1.030052404,1.470733652,2.018819777
Sudan,31095000,26805,50767,75670,129216,187512,0.08620357,0.16326419,0.243351021,0.41555234,0.603029426
Togo,4527000,40904,53895,94655,144835,186124,0.903556439,1.190523526,2.09089905,3.199359399,4.111420367
Sao Tome and Principe,138000,174,174,138,1396,1452,0.126086957,0.126086957,0.1,1.011594203,1.052173913
"Tanzania, United Republic of",35119000,41313,54398,95602,146283,187985,0.117637176,0.15489621,0.272223013,0.416535209,0.535280048
Namibia,1757000,3616,4034,10757,29359,39966,0.20580535,0.229595902,0.612236767,1.67097325,2.274672738
Djibouti,632000,17301,34137,51409,86482,90968,2.7375,5.401424051,8.134335443,13.68386076,14.39367089
Myanmar (Burma),47749000,591118,1083044,2213080,3964937,5859748,1.237969382,2.268202475,4.634819577,8.303706884,12.27198057
Brunei,328000,1584,1626,2344,4310,10953,0.482926829,0.495731707,0.714634146,1.31402439,3.339329268
Cambodia,13104000,130478,277645,519612,845556,1249821,0.995711233,2.118780525,3.96529304,6.452655678,9.537706044
China,1275133000,22699295,34965603,50732742,69240818,88275595,1.780151169,2.742114195,3.978623563,5.43008596,6.92285393
Indonesia,212092000,2774692,5103216,8348630,12459289,17327380,1.30824925,2.406133187,3.936324802,5.874473813,8.169747091
North Korea,22268000,86211,163803,343249,601995,951319,0.387151967,0.735598168,1.541445123,2.703408479,4.272134902
South Korea,46740000,228762,355878,590494,886687,1276765,0.489435173,0.76139923,1.263359007,1.897062473,2.731632435
Malaysia,22218000,97384,249682,538892,934249,1458363,0.438311279,1.123782519,2.42547484,4.204919435,6.563880637
Papua New Guinea,4809000,4963,7047,9859,13799,24860,0.103202329,0.146537742,0.205011437,0.286941152,0.51694739
Philippines,75653000,805406,1437272,2300469,4821392,6243089,1.064605501,1.899821554,3.040816623,6.373034777,8.252268912
Thailand,62806000,686175,1516607,3074655,5297225,7810588,1.092530968,2.414748591,4.895479731,8.434265834,12.43605388
Taiwan China,22370000,670339,986225,1362055,1798884,2199026,2.996598122,4.40869468,6.088757264,8.041502012,9.830245865
Vietnam,78137000,8437072,14036213,20003408,25389856,29836444,10.79779362,17.96359343,25.60043001,32.4940246,38.18478314
Bangladesh,137439000,1526826,2753213,5407944,10183882,16720860,1.11091175,2.003225431,3.9347958,7.40974687,12.16602274
Sri Lanka,18924000,126368,227632,429293,679015,949770,0.6677658,1.202874657,2.268510886,3.58811562,5.018864933
India,1008937000,4446570,7447115,12318026,12145257,24626888,0.440718301,0.738114967,1.220891493,1.203767629,2.440874703
Pakistan,141256000,301960,502815,749875,1094385,1393182,0.213767911,0.355960101,0.530862406,0.774752931,0.986281645
138,3142,4279,2961161,,,,,,,,
1626,80798,6539,126476458,,,,,,,,
181,6045,17772,10203140,,,,,,,,
1746,103980,3031,18776707,,,,,,,,
760,31876,8522,53771300,,,,,,,,
432,22693,1481,51640000,,,,,,,,
645,14282,1203,1932774,,,,,,,,
655,102722,7191,4270563,,,,,,,,
1082,44227,3615,6524191,,,,,,,,
0,22,1,7275556,,,,,,,,
40,1322,1234,1886202,,,,,,,,
455,22719,29384,6825442,,,,,,,,
42,926,832,2142252,,,,,,,,
82,1245,36,5057677,,,,,,,,
623,23791,17272,6871287,,,,,,,,
1,117,24,38137,,,,,,,,
103,2751,3109,2722291,,,,,,,,
128,7900,1091,625976,,,,,,,,
237,16012,453,27691019,,,,,,,,
180,4644,997,19129955,,,,,,,,
155,10780,4161,32365998,,,,,,,,
34,9683,1142,540542,,,,,,,,
132,2525,616,20250834,,,,,,,,
41,2937,703,441539,,,,,,,,
163,7266,121,4649660,,,,,,,,
10,358,27,1271767,,,,,,,,
83642,689377,41309,128932753,,,,,,,,
1458,43982,16322,4033963,,,,,,,,
2,209,22,39244,,,,,,,,
0,310,5,3278292,,,,,,,,
198,9429,4014,628062,,,,,,,,
2572,124854,22415,36910558,,,,,,,,
70,7203,2571,31255435,,,,,,,,
128,9807,1956,2540916,,,,,,,,
614,74252,30818,29136808,,,,,,,,
6624,4761,162509,17134873,,,,,,,,
25,1801,45,4822233,,,,,,,,
153,4225,886,6624554,,,,,,,,
69,1123,9,24206636,,,,,,,,
1115,51711,7277,206139587,,,,,,,,
785,16099,3671,2083380,,,,,,,,
275,11863,3328,5421242,,,,,,,,
1009,91731,11389,5106622,,,,,,,,
6570,303458,8904,220892331,,,,,,,,
2482,95552,21632,4314768,,,,,,,,
7,532,10,8947027,,,,,,,,
1065,31351,16562,7132530,,,,,,,,
33223,733000,79865,32971846,,,,,,,,
6238,276094,54594,109581085,,,,,,,,
